Empresa;Aplicação;Entrevista;Resposta;Vaga;Etapa Gupy;Remoto;Senioridade;Data Submissão;Data entrevista;Data Resposta;Data Visualização;
BHS;Kenoby;Não;N/A;Python Developer;N/A;Sim;N/A;03/01/2022;N/A;N/A;N/A;
Bluesky CUBE;LinkedIn;Não;N/A;Python Developer;N/A;Sim;N/A;03/01/2022;N/A;N/A;13/01/2022;
Programmers Beyond IT;Kenoby;Não;N/A;Data Scientist (English) (Remoto/Brasil);N/A;Sim;N/A;03/01/2022;N/A;N/A;N/A;
NPL Brasil;Coodesh;Não;Genérica;Backend Python Developer;N/A;Sim;N/A;03/01/2022;N/A;07/01/2022;N/A;
TFG, Ltd. - Wildlife Studios;LinkedIn;Não;N/A;Data Scientist;N/A;Sim;N/A;03/01/2022;N/A;N/A;03/01/2022;
OLX Brasi;SmartRecruiters;Não;N/A;Cientista de Dados (OLX/Zap+);N/A;Sim;N/A;N/A;N/A;04/01/2022;N/A;
Puga Studios;InfoJobs;Não;N/A;Analista de Banco de Dados;N/A;Sim;N/A;05/01/2022;N/A;N/A;N/A;
Carretias 3778;Gupy;Não;N/A;Data Scientist Jr - 10 vagas - Brasil;Cadastro;Sim;Júnior;05/01/2022;N/A;N/A;N/A;
Thought Media;LinkedIn;Não;N/A;Python Developer;N/A;Sim;N/A;05/01/2022;N/A;N/A;N/A;
F&MD;LinkedIn;Não;N/A;Cientista de Dados;N/A;Sim;N/A;05/01/2022;N/A;N/A;N/A;
eMotion Studios;Gupy;Não;Genérica;Analista de Dados Júnior;Cadastro;Sim;N/A;06/01/2022;N/A;12/01/2022;N/A;
Massatech Systems & Outsourcing;LinkedIn;Não;N/A;Desenvolvedor Python;N/A;Sim;N/A;06/01/2022;N/A;N/A;07/01/2022;
Verity;Kenoby;Não;N/A;N/A;N/A;Sim;N/A;06/01/2022;N/A;N/A;06/01/2022;
Seazone;Gupy;Não;N/A;Analista de Dados;Cadastro;Sim;N/A;06/01/2022;N/A;N/A;N/A;
Fhinck;Forms;Não;Personalizada;Cientista de Dados;N/A;Sim;N/A;06/01/2022;N/A;18/02/2022;N/A;
Stefanini Brasil;LinkedIn;Não;N/A;Desenvolvedor Python;N/A;Sim;N/A;06/01/2022;N/A;N/A;N/A;
Talentify;Kenoby;Não;Genérica;Vaga Desenvolvedor Python Pleno - Remoto;N/A;Sim;Pleno;06/01/2022;N/A;N/A;21/01/2022;
Cliqx;LinkedIn;Não;N/A;Desenvolvedor Backend Python Senior;N/A;Sim;Senior;07/01/2022;N/A;N/A;07/01/2022;
Idwall;Intera;Não;Genérica;Cientista de Dados (P&D);N/A;Inscrição;N/A;07/01/2022;N/A;10/01/2022;N/A;
Neon;LinkedIn;Não;N/A;Analista de Dados I;N/A;Sim;N/A;07/01/2022;N/A;N/A;N/A;
Dp6;LinkedIn;Não;N/A;Data Scientist;N/A;Sim;N/A;07/01/2022;N/A;N/A;N/A;
Sinch;LinkedIn;Não;N/A;Conversational Developer | Desenvolvedor de Chatbot Júnior;N/A;Sim;Júnior;07/01/2022;N/A;N/A;N/A;
Instituto de Gestão e Tecnologia da Informação;LinkedIn;Não;Personalizada;Cientista de Dados Jr;N/A;Sim;Júnior;07/01/2022;N/A;10/01/2022;N/A;
Magne Interactive;LinkedIn;Não;N/A;Game Designer;N/A;Sim;N/A;07/01/2022;N/A;N/A;10/01/2022;
Grupo Habib´s;LinkedIn;Não;N/A;Analisat de Sistemas Junior;N/A;Sim;Júnior;07/01/2022;N/A;N/A;N/A;
Stone;LinkedIn;Não;N/A;Analista de Dados;N/A;Sim;N/A;07/01/2022;N/A;N/A;N/A;
Contabilizei;LinkedIn;Não;N/A;Analista de Sistemas Júnior (Suporte/Sustentação);N/A;Sim;Júnior;07/01/2022;N/A;N/A;N/A;
DXT Technology;Site;Não;N/A;Técnico de Suporte;N/A;Sim;N/A;07/01/2022;N/A;N/A;N/A;
Carreiras 3778;Gupy;Não;N/A;Cientista de Dados Jr - Brasil;N/A;Sim;Júnior;09/01/2022;N/A;N/A;N/A;
Enjoei;Gupy;Não;Genérica;Engenheiro de Dados junior;Resposta;Sim;Júnior;09/01/2022;N/A;07/03/2022;N/A;
